# Simulation 1 (Up to date)
# 1097 data points written for 11 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Position East of launch (m),Position North of launch (m),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
88.945,596.364,-5.159,-0.062,-224.917,0.003,NaN,NaN,NaN,44.514,89.97
89.209,594.996,-5.175,0.001,-225.882,0.003,NaN,NaN,NaN,44.514,89.97
89.473,593.63,-5.175,0.002,-226.854,0.003,NaN,NaN,NaN,44.514,89.97
89.737,592.265,-5.174,0.002,-227.837,0.003,NaN,NaN,NaN,44.514,89.97
90.001,590.9,-5.174,0.052,-228.834,0.003,NaN,NaN,NaN,44.514,89.97
90.265,589.537,-5.16,-0.006,-229.874,0.003,NaN,NaN,NaN,44.514,89.97
90.529,588.172,-5.162,-0.041,-230.919,0.003,NaN,NaN,NaN,44.514,89.97
90.794,586.806,-5.173,3.2e-4,-231.939,0.003,NaN,NaN,NaN,44.514,89.97
91.057,585.441,-5.173,0.008,-232.97,0.002,NaN,NaN,NaN,44.514,89.97
91.321,584.077,-5.171,0.006,-233.993,0.002,NaN,NaN,NaN,44.514,89.97
91.585,582.713,-5.169,-0.009,-234.985,0.002,NaN,NaN,NaN,44.514,89.97
91.849,581.349,-5.171,0.063,-235.952,0.002,NaN,NaN,NaN,44.514,89.97
92.113,579.988,-5.155,-0.058,-236.949,0.002,NaN,NaN,NaN,44.514,89.97
92.377,578.622,-5.17,0.034,-238,0.002,NaN,NaN,NaN,44.514,89.97
92.641,577.26,-5.161,0.099,-239.089,0.002,NaN,NaN,NaN,44.514,89.97
92.905,575.9,-5.135,-0.132,-240.267,0.002,NaN,NaN,NaN,44.514,89.97
93.17,574.533,-5.17,0.002,-241.513,0.002,NaN,NaN,NaN,44.514,89.97
93.434,573.17,-5.169,0.013,-242.762,0.002,NaN,NaN,NaN,44.514,89.97
93.698,571.808,-5.166,0.025,-244.032,0.002,NaN,NaN,NaN,44.514,89.97
93.961,570.446,-5.159,0.038,-245.292,0.002,NaN,NaN,NaN,44.514,89.97
94.225,569.086,-5.149,-0.072,-246.481,0.002,NaN,NaN,NaN,44.514,89.97
94.49,567.721,-5.168,0.009,-247.629,0.002,NaN,NaN,NaN,44.514,89.97
94.753,566.36,-5.166,-0.004,-248.759,0.002,NaN,NaN,NaN,44.514,89.97
95.017,564.998,-5.167,0.101,-249.883,0.002,NaN,NaN,NaN,44.514,89.97
95.28,563.64,-5.14,-0.08,-251.064,0.001,NaN,NaN,NaN,44.514,89.97
95.545,562.276,-5.162,-0.006,-252.278,0.001,NaN,NaN,NaN,44.514,89.97
95.809,560.915,-5.163,0.013,-253.449,0.001,NaN,NaN,NaN,44.514,89.97
96.072,559.554,-5.16,-0.008,-254.578,0.001,NaN,NaN,NaN,44.514,89.97
96.336,558.193,-5.162,0.005,-255.701,0.001,NaN,NaN,NaN,44.514,89.97
96.6,556.833,-5.161,-0.015,-256.864,0.001,NaN,NaN,NaN,44.514,89.97
96.863,555.472,-5.165,0.005,-258.056,0.001,NaN,NaN,NaN,44.514,89.97
97.127,554.112,-5.163,-0.002,-259.242,0.001,NaN,NaN,NaN,44.514,89.97
97.39,552.752,-5.164,1.719e-4,-260.409,9.337e-4,NaN,NaN,NaN,44.514,89.97
97.653,551.392,-5.164,0.006,-261.574,8.668e-4,NaN,NaN,NaN,44.514,89.97
97.917,550.033,-5.162,0.017,-262.756,8.002e-4,NaN,NaN,NaN,44.514,89.97
98.18,548.674,-5.158,0.029,-263.973,7.331e-4,NaN,NaN,NaN,44.514,89.97
98.443,547.316,-5.15,-0.048,-265.179,6.649e-4,NaN,NaN,NaN,44.514,89.97
98.707,545.956,-5.163,0.102,-266.353,5.964e-4,NaN,NaN,NaN,44.514,89.97
98.971,544.6,-5.136,-0.068,-267.475,5.289e-4,NaN,NaN,NaN,44.514,89.97
99.235,543.239,-5.154,0.028,-268.526,4.63e-4,NaN,NaN,NaN,44.514,89.97
99.499,541.882,-5.147,-0.054,-269.509,4.003e-4,NaN,NaN,NaN,44.514,89.97
99.763,540.522,-5.161,6.278e-4,-270.462,3.409e-4,NaN,NaN,NaN,44.514,89.97
100.026,539.164,-5.161,0.022,-271.415,2.841e-4,NaN,NaN,NaN,44.514,89.97
100.289,537.807,-5.155,-0.019,-272.385,2.286e-4,NaN,NaN,NaN,44.514,89.97
100.552,536.448,-5.16,0.001,-273.373,1.732e-4,NaN,NaN,NaN,44.514,89.97
100.815,535.091,-5.159,0.014,-274.36,1.173e-4,NaN,NaN,NaN,44.514,89.97
101.078,533.734,-5.156,-0.012,-275.334,6.125e-5,NaN,NaN,NaN,44.514,89.97
101.342,532.377,-5.159,0.033,-276.287,5.44e-6,NaN,NaN,NaN,44.514,89.97
101.605,531.021,-5.15,-0.006,-277.262,-4.954e-5,NaN,NaN,NaN,44.514,89.97
101.868,529.664,-5.152,-0.022,-278.292,-1.049e-4,NaN,NaN,NaN,44.514,89.97
102.131,528.307,-5.158,0.016,-279.34,-1.619e-4,NaN,NaN,NaN,44.514,89.97
102.394,526.951,-5.153,0.032,-280.4,-2.201e-4,NaN,NaN,NaN,44.514,89.97
102.657,525.596,-5.145,-0.042,-281.448,-2.795e-4,NaN,NaN,NaN,44.514,89.97
102.921,524.238,-5.156,0.013,-282.455,-3.39e-4,NaN,NaN,NaN,44.514,89.97
103.184,522.883,-5.153,-0.003,-283.434,-3.974e-4,NaN,NaN,NaN,44.514,89.97
103.447,521.527,-5.154,-0.006,-284.409,-4.545e-4,NaN,NaN,NaN,44.514,89.97
103.71,520.172,-5.155,-3.68e-4,-285.392,-5.108e-4,NaN,NaN,NaN,44.514,89.97
103.973,518.816,-5.155,0.073,-286.371,-5.669e-4,NaN,NaN,NaN,44.514,89.97
104.236,517.464,-5.136,-0.07,-287.313,-6.228e-4,NaN,NaN,NaN,44.514,89.97
104.5,516.107,-5.155,0.055,-288.221,-6.777e-4,NaN,NaN,NaN,44.514,89.97
104.762,514.754,-5.14,-0.034,-289.167,-7.308e-4,NaN,NaN,NaN,44.514,89.97
105.026,513.398,-5.149,-0.006,-290.131,-7.843e-4,NaN,NaN,NaN,44.514,89.97
105.289,512.044,-5.151,0.027,-291.088,-8.385e-4,NaN,NaN,NaN,44.514,89.97
105.552,510.69,-5.144,-0.036,-292.09,-8.927e-4,NaN,NaN,NaN,44.514,89.97
105.815,509.335,-5.153,0.039,-293.122,-9.484e-4,NaN,NaN,NaN,44.514,89.97
106.078,507.983,-5.143,-0.036,-294.182,-0.001,NaN,NaN,NaN,44.514,89.97
106.341,506.628,-5.152,0.013,-295.271,-0.001,NaN,NaN,NaN,44.514,89.97
106.604,505.275,-5.149,0.015,-296.373,-0.001,NaN,NaN,NaN,44.514,89.97
106.866,503.922,-5.145,-0.018,-297.517,-0.001,NaN,NaN,NaN,44.514,89.97
107.129,502.569,-5.15,0.001,-298.698,-0.001,NaN,NaN,NaN,44.514,89.97
107.392,501.216,-5.149,0.023,-299.901,-0.001,NaN,NaN,NaN,44.514,89.97
107.655,499.864,-5.143,-0.025,-301.09,-0.001,NaN,NaN,NaN,44.514,89.97
107.918,498.511,-5.15,0.058,-302.26,-0.001,NaN,NaN,NaN,44.514,89.97
108.18,497.161,-5.135,-0.056,-303.397,-0.002,NaN,NaN,NaN,44.514,89.97
108.444,495.806,-5.149,0.004,-304.503,-0.002,NaN,NaN,NaN,44.514,89.97
108.706,494.455,-5.148,-9.84e-4,-305.6,-0.002,NaN,NaN,NaN,44.514,89.97
108.969,493.103,-5.149,0.011,-306.694,-0.002,NaN,NaN,NaN,44.514,89.97
109.231,491.752,-5.146,-0.005,-307.776,-0.002,NaN,NaN,NaN,44.514,89.97
109.494,490.4,-5.147,0.017,-308.834,-0.002,NaN,NaN,NaN,44.514,89.97
109.756,489.05,-5.143,0.06,-309.86,-0.002,NaN,NaN,NaN,44.514,89.97
110.019,487.701,-5.127,-0.07,-310.822,-0.002,NaN,NaN,NaN,44.514,89.97
110.283,486.348,-5.145,-0.005,-311.757,-0.002,NaN,NaN,NaN,44.514,89.97
110.545,484.997,-5.146,0.006,-312.695,-0.002,NaN,NaN,NaN,44.514,89.97
110.807,483.647,-5.145,-0.002,-313.616,-0.002,NaN,NaN,NaN,44.514,89.97
111.07,482.296,-5.145,0.074,-314.516,-0.002,NaN,NaN,NaN,44.514,89.97
111.332,480.949,-5.126,-0.068,-315.45,-0.002,NaN,NaN,NaN,44.514,89.97
111.596,479.597,-5.144,0.045,-316.442,-0.002,NaN,NaN,NaN,44.514,89.97
111.858,478.248,-5.132,-0.001,-317.408,-0.002,NaN,NaN,NaN,44.514,89.97
112.121,476.899,-5.132,-0.041,-318.375,-0.002,NaN,NaN,NaN,44.514,89.97
112.384,475.548,-5.143,-0.003,-319.365,-0.002,NaN,NaN,NaN,44.514,89.97
112.646,474.199,-5.144,0.014,-320.345,-0.002,NaN,NaN,NaN,44.514,89.97
112.908,472.85,-5.14,0.003,-321.344,-0.003,NaN,NaN,NaN,44.514,89.97
113.171,471.502,-5.14,0.004,-322.378,-0.003,NaN,NaN,NaN,44.514,89.97
113.433,470.153,-5.138,0.048,-323.411,-0.003,NaN,NaN,NaN,44.514,89.97
113.696,468.806,-5.126,-0.055,-324.385,-0.003,NaN,NaN,NaN,44.514,89.97
113.959,467.456,-5.14,0.01,-325.336,-0.003,NaN,NaN,NaN,44.514,89.97
114.221,466.109,-5.138,0.015,-326.317,-0.003,NaN,NaN,NaN,44.514,89.97
114.483,464.761,-5.134,0.12,-327.343,-0.003,NaN,NaN,NaN,44.514,89.97
114.746,463.418,-5.102,-0.107,-328.455,-0.003,NaN,NaN,NaN,44.514,89.97
115.01,462.067,-5.13,-0.037,-329.665,-0.003,NaN,NaN,NaN,44.514,89.97
115.272,460.718,-5.14,0.015,-330.905,-0.003,NaN,NaN,NaN,44.514,89.97
115.535,459.371,-5.136,-0.001,-332.166,-0.003,NaN,NaN,NaN,44.514,89.97
115.797,458.024,-5.137,0.119,-333.43,-0.003,NaN,NaN,NaN,44.514,89.97
116.059,456.682,-5.105,0.048,-334.621,-0.003,NaN,NaN,NaN,44.514,89.97
116.323,455.337,-5.093,-0.133,-335.698,-0.003,NaN,NaN,NaN,44.514,89.97
116.587,453.986,-5.128,-0.037,-336.742,-0.003,NaN,NaN,NaN,44.514,89.97
116.85,452.638,-5.138,0.002,-337.818,-0.003,NaN,NaN,NaN,44.514,89.97
117.112,451.292,-5.137,0.017,-338.89,-0.004,NaN,NaN,NaN,44.514,89.97
117.374,449.947,-5.133,0.009,-339.934,-0.004,NaN,NaN,NaN,44.514,89.97
117.636,448.602,-5.131,-0.023,-340.982,-0.004,NaN,NaN,NaN,44.514,89.97
117.898,447.255,-5.137,0.06,-342.05,-0.004,NaN,NaN,NaN,44.514,89.97
118.16,445.912,-5.121,-0.036,-343.074,-0.004,NaN,NaN,NaN,44.514,89.97
118.423,444.566,-5.131,-0.021,-344.041,-0.004,NaN,NaN,NaN,44.514,89.97
118.685,443.22,-5.136,0.002,-344.982,-0.004,NaN,NaN,NaN,44.514,89.97
118.947,441.875,-5.135,6.429e-4,-345.924,-0.004,NaN,NaN,NaN,44.514,89.97
119.208,440.531,-5.135,0.016,-346.869,-0.004,NaN,NaN,NaN,44.514,89.97
119.47,439.187,-5.131,0.069,-347.832,-0.004,NaN,NaN,NaN,44.514,89.97
119.732,437.845,-5.113,-0.079,-348.858,-0.004,NaN,NaN,NaN,44.514,89.97
119.995,436.498,-5.134,0.046,-349.938,-0.004,NaN,NaN,NaN,44.514,89.97
120.257,435.156,-5.122,-0.043,-351.053,-0.004,NaN,NaN,NaN,44.514,89.97
120.519,433.811,-5.133,0.101,-352.197,-0.004,NaN,NaN,NaN,44.514,89.97
120.781,432.471,-5.107,-0.096,-353.283,-0.004,NaN,NaN,NaN,44.514,89.97
121.044,431.124,-5.132,0.126,-354.313,-0.004,NaN,NaN,NaN,44.514,89.97
121.306,429.785,-5.099,-0.032,-355.384,-0.004,NaN,NaN,NaN,44.514,89.97
121.569,428.441,-5.107,-0.079,-356.565,-0.005,NaN,NaN,NaN,44.514,89.97
121.832,427.096,-5.128,-0.014,-357.772,-0.005,NaN,NaN,NaN,44.514,89.97
122.094,425.753,-5.131,0.001,-358.957,-0.005,NaN,NaN,NaN,44.514,89.97
122.355,424.41,-5.131,0.013,-360.141,-0.005,NaN,NaN,NaN,44.514,89.97
122.617,423.068,-5.128,0.002,-361.305,-0.005,NaN,NaN,NaN,44.514,89.97
122.879,421.726,-5.127,0.01,-362.437,-0.005,NaN,NaN,NaN,44.514,89.97
123.14,420.385,-5.125,-0.019,-363.529,-0.005,NaN,NaN,NaN,44.514,89.97
123.402,419.042,-5.13,0.009,-364.595,-0.005,NaN,NaN,NaN,44.514,89.97
123.664,417.701,-5.127,-0.007,-365.64,-0.005,NaN,NaN,NaN,44.514,89.97
123.925,416.36,-5.129,0.008,-366.668,-0.005,NaN,NaN,NaN,44.514,89.97
124.187,415.019,-5.127,0.007,-367.706,-0.005,NaN,NaN,NaN,44.514,89.97
124.448,413.678,-5.125,-0.002,-368.739,-0.005,NaN,NaN,NaN,44.514,89.97
124.71,412.337,-5.126,-0.008,-369.77,-0.005,NaN,NaN,NaN,44.514,89.97
124.972,410.996,-5.128,0.001,-370.819,-0.005,NaN,NaN,NaN,44.514,89.97
125.233,409.656,-5.127,0.005,-371.868,-0.005,NaN,NaN,NaN,44.514,89.97
125.494,408.316,-5.126,0.041,-372.908,-0.005,NaN,NaN,NaN,44.514,89.97
125.756,406.977,-5.115,-0.042,-373.908,-0.006,NaN,NaN,NaN,44.514,89.97
126.018,405.636,-5.126,0.037,-374.881,-0.006,NaN,NaN,NaN,44.514,89.97
126.279,404.297,-5.117,-0.023,-375.883,-0.006,NaN,NaN,NaN,44.514,89.97
126.541,402.957,-5.123,0.064,-376.933,-0.006,NaN,NaN,NaN,44.514,89.97
126.802,401.62,-5.106,-0.053,-378.038,-0.006,NaN,NaN,NaN,44.514,89.97
127.065,400.279,-5.12,-0.019,-379.168,-0.006,NaN,NaN,NaN,44.514,89.97
127.326,398.939,-5.125,0.035,-380.272,-0.006,NaN,NaN,NaN,44.514,89.97
127.588,397.601,-5.115,0.042,-381.344,-0.006,NaN,NaN,NaN,44.514,89.97
127.849,396.264,-5.105,-0.032,-382.349,-0.006,NaN,NaN,NaN,44.514,89.97
128.111,394.925,-5.113,-0.033,-383.345,-0.006,NaN,NaN,NaN,44.514,89.97
128.373,393.585,-5.121,-0.006,-384.383,-0.006,NaN,NaN,NaN,44.514,89.97
128.634,392.247,-5.123,0.016,-385.435,-0.006,NaN,NaN,NaN,44.514,89.97
128.896,390.909,-5.119,-0.005,-386.508,-0.006,NaN,NaN,NaN,44.514,89.97
129.157,389.572,-5.12,0.147,-387.615,-0.006,NaN,NaN,NaN,44.514,89.97
129.418,388.239,-5.082,-0.113,-388.797,-0.006,NaN,NaN,NaN,44.514,89.97
129.681,386.898,-5.112,-0.032,-390.077,-0.006,NaN,NaN,NaN,44.514,89.97
129.943,385.559,-5.12,0.092,-391.37,-0.006,NaN,NaN,NaN,44.514,89.97
130.204,384.225,-5.096,0.076,-392.603,-0.007,NaN,NaN,NaN,44.514,89.97
130.467,382.891,-5.076,-0.168,-393.73,-0.007,NaN,NaN,NaN,44.514,89.97
130.73,381.549,-5.12,0.012,-394.796,-0.007,NaN,NaN,NaN,44.514,89.97
130.991,380.212,-5.117,0.002,-395.868,-0.007,NaN,NaN,NaN,44.514,89.97
131.252,378.876,-5.117,0.022,-396.971,-0.007,NaN,NaN,NaN,44.514,89.97
131.513,377.541,-5.111,-0.029,-398.063,-0.007,NaN,NaN,NaN,44.514,89.97
131.775,376.204,-5.119,0.001,-399.134,-0.007,NaN,NaN,NaN,44.514,89.97
132.035,374.868,-5.118,0.007,-400.212,-0.007,NaN,NaN,NaN,44.514,89.97
132.296,373.533,-5.116,-0.004,-401.306,-0.007,NaN,NaN,NaN,44.514,89.97
132.557,372.197,-5.118,0.002,-402.406,-0.007,NaN,NaN,NaN,44.514,89.97
132.818,370.862,-5.117,2.291e-4,-403.494,-0.007,NaN,NaN,NaN,44.514,89.97
133.079,369.527,-5.117,0.006,-404.58,-0.007,NaN,NaN,NaN,44.514,89.97
133.34,368.192,-5.115,-0.004,-405.659,-0.007,NaN,NaN,NaN,44.514,89.97
133.601,366.857,-5.116,0.024,-406.731,-0.007,NaN,NaN,NaN,44.514,89.97
133.862,365.523,-5.11,-0.021,-407.784,-0.007,NaN,NaN,NaN,44.514,89.97
134.123,364.188,-5.115,-5.528e-4,-408.808,-0.007,NaN,NaN,NaN,44.514,89.97
134.384,362.854,-5.116,0.069,-409.824,-0.008,NaN,NaN,NaN,44.514,89.97
134.645,361.522,-5.098,-0.059,-410.8,-0.008,NaN,NaN,NaN,44.514,89.97
134.906,360.186,-5.113,0.044,-411.753,-0.008,NaN,NaN,NaN,44.514,89.97
135.167,358.854,-5.102,-0.039,-412.681,-0.008,NaN,NaN,NaN,44.514,89.97
135.429,357.519,-5.112,-0.007,-413.563,-0.008,NaN,NaN,NaN,44.514,89.97
135.689,356.186,-5.113,0.057,-414.434,-0.008,NaN,NaN,NaN,44.514,89.97
135.95,354.854,-5.099,-0.04,-415.347,-0.008,NaN,NaN,NaN,44.514,89.97
136.212,353.52,-5.109,0.033,-416.279,-0.008,NaN,NaN,NaN,44.514,89.97
136.472,352.188,-5.1,-0.045,-417.224,-0.008,NaN,NaN,NaN,44.514,89.97
136.734,350.854,-5.112,0.012,-418.21,-0.008,NaN,NaN,NaN,44.514,89.97
136.994,349.522,-5.109,-0.011,-419.217,-0.008,NaN,NaN,NaN,44.514,89.97
137.255,348.19,-5.112,0.08,-420.245,-0.008,NaN,NaN,NaN,44.514,89.97
137.516,346.86,-5.091,-0.07,-421.316,-0.008,NaN,NaN,NaN,44.514,89.97
137.777,345.526,-5.109,0.008,-422.422,-0.008,NaN,NaN,NaN,44.514,89.97
138.038,344.194,-5.107,-0.012,-423.528,-0.008,NaN,NaN,NaN,44.514,89.97
138.299,342.862,-5.11,0.011,-424.655,-0.008,NaN,NaN,NaN,44.514,89.97
138.559,341.531,-5.107,0.046,-425.767,-0.008,NaN,NaN,NaN,44.514,89.97
138.82,340.202,-5.096,-0.05,-426.829,-0.009,NaN,NaN,NaN,44.514,89.97
139.081,338.869,-5.109,-9.193e-4,-427.866,-0.009,NaN,NaN,NaN,44.514,89.97
139.342,337.538,-5.109,0.023,-428.912,-0.009,NaN,NaN,NaN,44.514,89.97
139.602,336.208,-5.103,0.004,-429.939,-0.009,NaN,NaN,NaN,44.514,89.97
139.863,334.877,-5.102,-0.004,-430.92,-0.009,NaN,NaN,NaN,44.514,89.97
140.124,333.547,-5.103,-0.005,-431.898,-0.009,NaN,NaN,NaN,44.514,89.97
140.384,332.217,-5.105,0.008,-432.88,-0.009,NaN,NaN,NaN,44.514,89.97
140.645,330.887,-5.103,-0.012,-433.824,-0.009,NaN,NaN,NaN,44.514,89.97
140.906,329.557,-5.106,-0.003,-434.737,-0.009,NaN,NaN,NaN,44.514,89.97
141.166,328.227,-5.107,0.031,-435.641,-0.009,NaN,NaN,NaN,44.514,89.97
141.426,326.898,-5.099,0.003,-436.575,-0.009,NaN,NaN,NaN,44.514,89.97
141.687,325.569,-5.098,-0.024,-437.562,-0.009,NaN,NaN,NaN,44.514,89.97
141.948,324.239,-5.104,-0.003,-438.565,-0.009,NaN,NaN,NaN,44.514,89.97
142.208,322.91,-5.105,0.005,-439.546,-0.009,NaN,NaN,NaN,44.514,89.97
142.468,321.581,-5.103,8.755e-4,-440.507,-0.009,NaN,NaN,NaN,44.514,89.97
142.729,320.253,-5.103,0.036,-441.469,-0.009,NaN,NaN,NaN,44.514,89.97
142.989,318.926,-5.094,-0.036,-442.472,-0.009,NaN,NaN,NaN,44.514,89.97
143.25,317.596,-5.103,0.031,-443.516,-0.009,NaN,NaN,NaN,44.514,89.97
143.51,316.269,-5.095,0.06,-444.539,-0.01,NaN,NaN,NaN,44.514,89.97
143.771,314.943,-5.08,-0.079,-445.582,-0.01,NaN,NaN,NaN,44.514,89.97
144.032,313.613,-5.1,-0.009,-446.691,-0.01,NaN,NaN,NaN,44.514,89.97
144.292,312.285,-5.103,0.003,-447.808,-0.01,NaN,NaN,NaN,44.514,89.97
144.552,310.958,-5.102,0.023,-448.918,-0.01,NaN,NaN,NaN,44.514,89.97
144.813,309.631,-5.096,-0.018,-449.999,-0.01,NaN,NaN,NaN,44.514,89.97
145.073,308.303,-5.101,0.07,-451.067,-0.01,NaN,NaN,NaN,44.514,89.97
145.333,306.979,-5.083,-0.001,-452.183,-0.01,NaN,NaN,NaN,44.514,89.97
145.594,305.652,-5.083,-0.066,-453.385,-0.01,NaN,NaN,NaN,44.514,89.97
145.855,304.323,-5.1,0.04,-454.618,-0.01,NaN,NaN,NaN,44.514,89.97
146.115,302.998,-5.09,-0.038,-455.808,-0.01,NaN,NaN,NaN,44.514,89.97
146.376,301.671,-5.1,0.012,-456.977,-0.01,NaN,NaN,NaN,44.514,89.97
146.636,300.345,-5.097,0.043,-458.132,-0.01,NaN,NaN,NaN,44.514,89.97
146.896,299.021,-5.085,0.052,-459.236,-0.01,NaN,NaN,NaN,44.514,89.97
147.157,297.697,-5.072,-0.102,-460.259,-0.01,NaN,NaN,NaN,44.514,89.97
147.418,296.368,-5.099,0.004,-461.228,-0.01,NaN,NaN,NaN,44.514,89.97
147.678,295.043,-5.098,0.029,-462.178,-0.011,NaN,NaN,NaN,44.514,89.97
147.938,293.718,-5.09,0.008,-463.146,-0.011,NaN,NaN,NaN,44.514,89.97
148.198,292.394,-5.088,-0.031,-464.17,-0.011,NaN,NaN,NaN,44.514,89.97
148.459,291.068,-5.096,0.028,-465.236,-0.011,NaN,NaN,NaN,44.514,89.97
148.719,289.744,-5.089,-3.982e-4,-466.338,-0.011,NaN,NaN,NaN,44.514,89.97
148.979,288.42,-5.089,-0.013,-467.495,-0.011,NaN,NaN,NaN,44.514,89.97
149.239,287.095,-5.092,0.031,-468.698,-0.011,NaN,NaN,NaN,44.514,89.97
149.499,285.772,-5.084,0.06,-469.886,-0.011,NaN,NaN,NaN,44.514,89.97
149.759,284.45,-5.068,-0.104,-470.994,-0.011,NaN,NaN,NaN,44.514,89.97
150.021,283.123,-5.096,0.005,-472.056,-0.011,NaN,NaN,NaN,44.514,89.97
150.28,281.799,-5.094,-0.001,-473.121,-0.011,NaN,NaN,NaN,44.514,89.97
150.54,280.476,-5.095,0.003,-474.2,-0.011,NaN,NaN,NaN,44.514,89.97
150.8,279.153,-5.094,0.014,-475.293,-0.011,NaN,NaN,NaN,44.514,89.97
151.06,277.83,-5.09,1.095e-5,-476.376,-0.011,NaN,NaN,NaN,44.514,89.97
151.56,275.285,-5.09,0.006,-478.49,-0.011,NaN,NaN,NaN,44.514,89.97
151.82,273.962,-5.089,0.107,-479.603,-0.011,NaN,NaN,NaN,44.514,89.97
152.079,272.644,-5.061,-0.123,-480.749,-0.012,NaN,NaN,NaN,44.514,89.97
152.341,271.317,-5.093,0.004,-481.955,-0.012,NaN,NaN,NaN,44.514,89.97
152.6,269.995,-5.092,0.004,-483.145,-0.012,NaN,NaN,NaN,44.514,89.97
152.86,268.673,-5.091,-6.692e-4,-484.318,-0.012,NaN,NaN,NaN,44.514,89.97
153.12,267.352,-5.091,0.012,-485.489,-0.012,NaN,NaN,NaN,44.514,89.97
153.379,266.03,-5.088,-0.012,-486.65,-0.012,NaN,NaN,NaN,44.514,89.97
153.639,264.709,-5.091,0.01,-487.795,-0.012,NaN,NaN,NaN,44.514,89.97
153.898,263.388,-5.088,0.096,-488.925,-0.012,NaN,NaN,NaN,44.514,89.97
154.158,262.07,-5.063,-0.086,-489.994,-0.012,NaN,NaN,NaN,44.514,89.97
154.419,260.746,-5.086,0.001,-491,-0.012,NaN,NaN,NaN,44.514,89.97
154.679,259.426,-5.085,-0.014,-492.001,-0.012,NaN,NaN,NaN,44.514,89.97
154.938,258.105,-5.089,0.007,-493.023,-0.012,NaN,NaN,NaN,44.514,89.97
155.198,256.785,-5.087,0.008,-494.058,-0.012,NaN,NaN,NaN,44.514,89.97
155.457,255.465,-5.085,0.105,-495.088,-0.012,NaN,NaN,NaN,44.514,89.97
155.717,254.149,-5.058,-0.101,-496.05,-0.012,NaN,NaN,NaN,44.514,89.97
155.978,252.825,-5.084,9.331e-4,-496.982,-0.012,NaN,NaN,NaN,44.514,89.97
156.237,251.506,-5.084,0.054,-497.944,-0.013,NaN,NaN,NaN,44.514,89.97
156.497,250.188,-5.07,-0.022,-498.961,-0.013,NaN,NaN,NaN,44.514,89.97
156.757,248.868,-5.076,-0.04,-500.05,-0.013,NaN,NaN,NaN,44.514,89.97
157.017,247.548,-5.086,0.007,-501.174,-0.013,NaN,NaN,NaN,44.514,89.97
157.276,246.229,-5.084,0.019,-502.313,-0.013,NaN,NaN,NaN,44.514,89.97
157.535,244.911,-5.079,-0.02,-503.487,-0.013,NaN,NaN,NaN,44.514,89.97
157.795,243.592,-5.085,0.106,-504.678,-0.013,NaN,NaN,NaN,44.514,89.97
158.054,242.278,-5.057,-0.106,-505.811,-0.013,NaN,NaN,NaN,44.514,89.97
158.315,240.956,-5.085,0.132,-506.902,-0.013,NaN,NaN,NaN,44.514,89.97
158.574,239.642,-5.05,-0.094,-507.932,-0.013,NaN,NaN,NaN,44.514,89.97
158.835,238.321,-5.075,-0.033,-508.887,-0.013,NaN,NaN,NaN,44.514,89.97
159.095,237.003,-5.084,0.001,-509.806,-0.013,NaN,NaN,NaN,44.514,89.97
159.354,235.685,-5.083,0.003,-510.719,-0.013,NaN,NaN,NaN,44.514,89.97
159.613,234.368,-5.082,0.004,-511.626,-0.013,NaN,NaN,NaN,44.514,89.97
159.872,233.051,-5.081,0.012,-512.515,-0.013,NaN,NaN,NaN,44.514,89.97
160.131,231.735,-5.078,-0.011,-513.414,-0.013,NaN,NaN,NaN,44.514,89.97
160.39,230.418,-5.081,-0.002,-514.322,-0.013,NaN,NaN,NaN,44.514,89.97
160.65,229.101,-5.081,0.005,-515.224,-0.013,NaN,NaN,NaN,44.514,89.97
160.909,227.785,-5.08,0.003,-516.137,-0.014,NaN,NaN,NaN,44.514,89.97
161.168,226.469,-5.079,0.051,-517.071,-0.014,NaN,NaN,NaN,44.514,89.97
161.427,225.155,-5.066,-0.053,-518.05,-0.014,NaN,NaN,NaN,44.514,89.97
161.686,223.837,-5.08,0.062,-519.071,-0.014,NaN,NaN,NaN,44.514,89.97
161.945,222.524,-5.064,0.026,-520.13,-0.014,NaN,NaN,NaN,44.514,89.97
162.205,221.209,-5.057,-0.053,-521.273,-0.014,NaN,NaN,NaN,44.514,89.97
162.465,219.892,-5.071,-0.018,-522.435,-0.014,NaN,NaN,NaN,44.514,89.97
162.725,218.576,-5.076,-0.01,-523.552,-0.014,NaN,NaN,NaN,44.514,89.97
162.984,217.261,-5.078,0.005,-524.646,-0.014,NaN,NaN,NaN,44.514,89.97
163.243,215.947,-5.077,-0.003,-525.746,-0.014,NaN,NaN,NaN,44.514,89.97
163.501,214.632,-5.078,0.01,-526.854,-0.014,NaN,NaN,NaN,44.514,89.97
163.76,213.318,-5.075,0.031,-527.948,-0.014,NaN,NaN,NaN,44.514,89.97
164.019,212.005,-5.067,-0.037,-529.058,-0.014,NaN,NaN,NaN,44.514,89.97
164.279,210.69,-5.077,0.01,-530.201,-0.014,NaN,NaN,NaN,44.514,89.97
164.537,209.376,-5.074,0.005,-531.358,-0.014,NaN,NaN,NaN,44.514,89.97
